assessment_id,plant_id,taxon_key,standard_name,standard_version,assessed_date,preliminary,cultivation_score,cultivation_weight,cultivation_reason,provenance_score,provenance_weight,provenance_reason,natural_score,natural_weight,natural_reason,taxonomic_score,taxonomic_weight,taxonomic_reason,weighted_total,stars,label
STA-005@stapelia-1.0@2026-09-14,STA-005,,Samlarraritet Stapelia,1.0,2026-09-14,false,3,0.5,Den exakta underarten förekommer hos specialister men är inte allmänt spridd i handeln.,1,0.2,"Leverantör och inköpsnamn är kända, men lokalitet och fältnummer saknas.",3,0.15,Geografiskt avgränsad till västra Arabiska halvön men uppges vara ganska riklig inom ett relativt stort område.,3,0.15,En erkänd geografiskt och morfologiskt avgränsad underart i ett varierande artkomplex.,2.60,3,Rare
STA-011@stapelia-1.0@2026-09-14,STA-011,,Samlarraritet Stapelia,1.0,2026-09-14,false,3,0.5,Arten är specialistmaterial och den brunröda blomtypen är snävare än den generiska arten.,2,0.2,"Färgmaterialet är namngivet av leverantören, men saknar klonnummer och lokalitet.",2,0.15,Arten har ett regionalt men inte extremt smalt område från nordöstra Sudan och Eritrea till Yemen.,2,0.15,Färgselektionen och artens äldre synonymflora ger ett måttligt samlarintresse.,2.50,3,Rare
STA-029@stapelia-1.0@2026-09-14,,huernia-hystrix,Samlarraritet Stapelia,1.0,2026-09-14,false,1,0.5,En väl spridd Huernia i specialistodling och återkommande tillgänglig som frö eller planta.,1,0.2,Fröpartiets leverantör är känd men materialet saknar lokalitet och fältnummer.,2,0.15,Arten har ett relativt brett sydafrikanskt utbredningsområde.,1,0.15,Ett etablerat och vanligt artmaterial utan särskild klon- eller lokalitetsidentitet.,1.15,1,Common
STA-017@stapelia-1.0@2026-09-14,STA-017,,Samlarraritet Stapelia,1.0,2026-09-14,false,3,0.5,Den kristata tillväxtformen är betydligt mer sällsynt i odling än normalformen.,2,0.2,"Den avvikande formen är dokumenterad, men någon namngiven klon eller lokalitet saknas.",2,0.15,Den botaniska bakgrunden är den relativt utbredda arten H. hystrix; kristationen är en odlingsform.,3,0.15,En stabil morfologisk avvikelse med tydligt värde för formsamlare.,2.65,3,Rare
STA-007@stapelia-1.0@2026-09-14,STA-007,,Samlarraritet Stapelia,1.0,2026-09-14,false,2,0.5,Förekommer återkommande hos stapeliadspecialister men sällan i vanlig suckulenthandel.,1,0.2,"Leverantör och varietetsnamn är kända, men lokalitet och fältnummer saknas.",3,0.15,Varietetsnamnet pekar på ett mer regionalt material än arten som helhet.,2,0.15,"Infraspecifik form med visst intresse, men utan dokumenterad populationsidentitet.",1.95,2,Uncommon
STA-012@stapelia-1.0@2026-09-14,STA-012,,Samlarraritet Stapelia,1.0,2026-09-14,true,3,0.5,Det namngivna Harras-materialet finns hos några specialister men är inte allmänt spritt.,3,0.2,"Namnet är spårbart och externa odlingskällor anger F1-bakgrunden H. concinna × H. laevis, men detta saknas ännu i katalogposten.",0,0.15,Som horticulturell hybrid har materialet ingen egen naturlig utbredning.,3,0.15,Äldre namngivet hybridmaterial med viss namnförvirring mellan form- och hybridbeteckning.,2.55,3,Rare
STA-035@stapelia-1.0@2026-09-14,STA-035,,Samlarraritet Stapelia,1.0,2026-09-14,false,1,0.5,En lättodlad och ofta tillgänglig Huernia hos specialister.,1,0.2,"Källan är känd genom gåvan, men materialet saknar lokalitet och accession.",2,0.15,Arten är regional snarare än snävt endemisk.,1,0.15,Generiskt artmaterial utan särskild klon- eller lokalitetshistoria.,1.15,1,Common
STA-001@stapelia-1.0@2026-09-14,STA-001,,Samlarraritet Stapelia,1.0,2026-09-14,false,3,0.5,Exakt RH230-material finns i specialistodling men hos ett begränsat antal aktörer.,5,0.2,"Fältnummer RH230 och exakt lokalitet i Haraz Mountains, Yemen, är dokumenterade.",4,0.15,Arten är naturligt begränsad till norra Yemen.,4,0.15,En relativt sent beskriven art med spårbar fältinsamling och stark samlaridentitet.,3.70,4,Very rare
STA-030@stapelia-1.0@2026-09-14,,huernia-zebrina,Samlarraritet Stapelia,1.0,2026-09-14,false,1,0.5,En av de mer spridda Huernia-arterna i odling.,1,0.2,"Leverantören är känd, men frömaterialet saknar lokalitet och fältnummer.",2,0.15,Arten har en förhållandevis vid sydafrikansk utbredning.,1,0.15,Vanligt artmaterial utan särskild dokumenterad form.,1.15,1,Common
STA-006@stapelia-1.0@2026-09-14,STA-006,,Samlarraritet Stapelia,1.0,2026-09-14,false,2,0.5,En känd stapeliadhybrid som återkommer hos specialister men inte i bred handel.,3,0.2,"Det traditionellt angivna parentaget H. hystrix × H. pendula är dokumenterat, men klonursprung saknas.",0,0.15,Hybriden har ingen egen naturlig utbredning.,3,0.15,Ett etablerat historiskt hybridnamn med tydlig samlaridentitet.,2.05,2,Uncommon
